# Pittsburgh Steelers 50/50 Raffle | Pittsburgh Steelers - Steelers.com
## 2021 Winning Numbers

## 2021 Winning Numbers  
Table inside Article  Game/Event | Winning Ticket # | Winning Amount | Charity
---|---|---|---
7/30/21 Friday Night Lights  |  #2415092  |  $905  |  Steelers Youth Football Fund
7/31/21 Steelers Fest  |  #1583665  |  $1,873  |  Steelers Youth Football Fund
8/7/21 Training Camp Practice  |  #1704869  |  $1,405  |  Steelers Youth Football Fund
8/8/21 Training Camp Practice  |  #2600064  |  $1,243  |  Steelers Youth Football Fund
8/21/21 Steelers vs. Lions  |  #1563330  |  $19,833  |  The United Way of SW PA
9/19/21 Steelers vs. Raiders  |  #2139317  |  $44,843  |  The Arthur J. Rooney Scholarship Fund
9/26/21 Steelers vs. Bengals  |  #6570916  |  $57,078  |  Steelers Youth Football Fund
10/10/21 Steelers vs. Broncos  |  #3496656  |  $54,523  |  UPMC Hillman Cancer Center and the Cancer Caring Center
10/17/21 Steelers vs. Seahawks  |  #7589104  |  $54,273  |  Chuck Noll Foundation and the UPMC Sports Medicine Concussion program
