# Pittsburgh Steelers 50/50 Raffle | Pittsburgh Steelers - Steelers.com
## 2024 Winning Numbers

## 2024 Winning Numbers  
Game/Event | Winning Ticket # | Winning Amount | Charity
---|---|---|---
7/25/24 Iron City Showdown  |  6450876  |  $4,788  |  Steelers Charities
8/9/24 Steelers vs. Texans  |  1166445  |  $23,155  |  The United Way of SW PA
8/17/24 Steelers vs. Bills  |  8808383  |  $27,743  |  Steelers Charities Youth Football Fund
9/22/24 Steelers vs. Chargers  |  9610424  |  $78,207  |  Arthur J Rooney Scholarship Fund
10/6/24 Steelers vs. Cowboys  |  2385731  |  $87,037  |  UPMC Hillman Cancer Center and Cancer Bridges
10/20/24 Steelers vs. Jets  |  3964954  |  $73,797  |  Chuck Noll Foundation
10/28/24 Steelers vs. Giants  |  2010405  |  $75,055  |  Steelers Youth Football Fund
11/17/24 Steelers vs. Ravens  |  1397048  |  $91,022.50  |  Military Charities
12/8/24 Steelers vs. Browns  |  8059091  |  $82,430  |  Salvation Army and Childrenâs Hospital of Pittsburgh Foundation
