# Pittsburgh Steelers 50/50 Raffle | Pittsburgh Steelers - Steelers.com
## 2019 Winning Numbers

## 2019 Winning Numbers  
Table inside Article  Game/Event | Winning Ticket # | Winning Amount | Charity
---|---|---|---
2019 Family Fest  |  449614  |  $6,215  |  Steelers Youth Football Fund
8/9/19 Steelers vs. Buccaneers  |  757940  |  $37,460  |  Steelers Youth Football Fund
8/17/19 Steelers vs. Chiefs  |  275108  |  $53,495  |  The United Way
9/15/19 Steelers vs. Seahawks  |  619089  |  $70,895  |  Arthur J. Rooney Scholarship Fund
9/30/19 Steelers vs. Bengals  |  222433  |  $56,278  |  UPMC Sports Medicine Concussion Program
10/6/19 Steelers vs. Ravens  |  231648  |  $66,985  |  The Susan G Komen/Breast Cancer Awareness Fund- Pittsburgh
10/28/19 Steelers vs. Dolphins  |  432617  |  $57,285  |  Steelers Charities, Youth Football Fund
11/3/19 Steelers vs. Colts  |  208921  |  $62,063  |  Local Military Charities
11/10/19 Steelers vs. Rams  |  918187  |  $70,435  |  The United Way of SW PA
