# Pittsburgh Steelers 50/50 Raffle | Pittsburgh Steelers - Steelers.com
## 2023 Winning Numbers

## 2023 Winning Numbers  
Table inside Article  Game/Event | Winning Ticket # | Winning Amount | Charity
---|---|---|---
8/19/23 Steelers vs. Bills  |  3390548  |  $31,388  |  The United Way of SW PA
9/10/23 Steelers vs. 49ers  |  8338144  |  $73,990  |  Steelers Youth Football Fund
9/18/23 Steelers vs. Browns  |  6566013  |  $60,890  |  Art Rooney Scholarship Fund
10/8/23 Steelers vs. Ravens  |  5255588  |  $58,292  |  Cancer Charities
10/29/23 Steelers vs. Jaguars  |  4887452  |  $65,940  |  Chuck Noll Foundation
11/2/23 Steelers vs. Titans  |  7537155  |  $49,160  |  Local Military Charities
11/12/23 Steelers vs. Packers  |  9821712  |  $70,233  |  The United Way & the Steelers Youth Football fund
12/3/23 Steelers vs. Cardinals  |  8326489  |  $63,763  |  Salvation Army & Childrenâs Hospital of Pgh Foundation
12/7/23 Steelers vs. Patriots  |  6586506  |  $41,068  |  The United Way of SW PA
