Name,Link,UpcomingEvents,Place,Time
Kip Moore,https://pittsburgh.events/tickets/kip-moore/,1,Roxian Theatre,"Dec 6, 2025 8:00 PM"
Mustard Plug,https://pittsburgh.events/tickets/mustard-plug/,1,Crafthouse Stage & Grill,"Dec 7, 2025 6:30 PM"
The Wood Brothers,https://pittsburgh.events/tickets/the-wood-brothers/,1,Roxian Theatre,"Dec 7, 2025 7:00 PM"
The Empty Pockets,https://pittsburgh.events/tickets/the-empty-pockets/,1,City Winery - Pittsburgh,"Dec 7, 2025 7:30 PM"
Mihali,https://pittsburgh.events/tickets/mihali/,1,Thunderbird Cafe,"Dec 7, 2025 8:00 PM"
J. Robbins,https://pittsburgh.events/tickets/j-robbins/,1,Mr Small's Fun House,"Dec 7, 2025 8:00 PM"
Chevy Chase,https://pittsburgh.events/tickets/chevy-chase/,1,Capitol Theatre - Wheeling,"Dec 9, 2025 7:00 PM"
Pittsburgh Penguins,https://pittsburgh.events/tickets/pittsburgh-penguins/,7,PPG Paints Arena,"Dec 9, 2025 7:00 PM"
Stella Cole,https://pittsburgh.events/tickets/stella-cole/,1,City Winery - Pittsburgh,"Dec 9, 2025 7:30 PM"
Straight No Chaser,https://pittsburgh.events/tickets/straight-no-chaser/,1,Benedum Center,"Dec 9, 2025 7:30 PM"
A Johnnyswim Christmas,https://pittsburgh.events/tickets/a-johnnyswim-christmas/,1,Roxian Theatre,"Dec 9, 2025 8:00 PM"
Great White Snake,https://pittsburgh.events/tickets/great-white-snake/,1,Jergel's Rhythm Grille,"Dec 10, 2025 7:30 PM"
Babe Haven,https://pittsburgh.events/tickets/babe-haven/,1,Preserving Underground,"Dec 11, 2025 6:30 PM"
The S'Wearing Hats,https://pittsburgh.events/tickets/the-swearing-hats/,1,Jergel's Rhythm Grille,"Dec 11, 2025 7:00 PM"
Mannheim Steamroller Christmas,https://pittsburgh.events/tickets/mannheim-steamroller-christmas/,1,Benedum Center,"Dec 11, 2025 7:30 PM"
Disciple of The Garden - The Legacy of Chris Cornell,https://pittsburgh.events/tickets/disciple-of-the-garden-the-legacy-of-chris-cornell/,1,Crafthouse Stage & Grill,"Dec 11, 2025 7:30 PM"
The Gilmour Project,https://pittsburgh.events/tickets/the-gilmour-project/,1,Carnegie of Homestead Music Hall,"Dec 11, 2025 8:00 PM"
Koffin Kats,https://pittsburgh.events/tickets/koffin-kats/,1,Mr Small's Theatre,"Dec 11, 2025 8:00 PM"
John Crist,https://pittsburgh.events/tickets/john-crist/,2,Carnegie of Homestead Music Hall,"Dec 12, 2025 7:00 PM"
Greyhaven,https://pittsburgh.events/tickets/greyhaven/,1,Preserving Underground,"Dec 12, 2025 7:00 PM"
Bobby Lee,https://pittsburgh.events/tickets/bobby-lee/,4,Pittsburgh Improv,"Dec 12, 2025 7:00 PM"
Matthew West,https://pittsburgh.events/tickets/matthew-west/,1,Amplify Church Pittsburgh East Campus,"Dec 12, 2025 7:00 PM"
Jay Som,https://pittsburgh.events/tickets/jay-som/,1,Spirit Hall,"Dec 12, 2025 8:00 PM"
Armchair Boogie,https://pittsburgh.events/tickets/armchair-boogie/,1,The Original Pittsburgh Winery,"Dec 12, 2025 8:00 PM"
Silver Springs - A Fleetwood Mac Experience,https://pittsburgh.events/tickets/silver-springs-a-fleetwood-mac-experience/,1,Jergel's Rhythm Grille,"Dec 12, 2025 8:00 PM"
Pittsburgh Plays Ozzy,https://pittsburgh.events/tickets/pittsburgh-plays-ozzy/,1,Roxian Theatre,"Dec 12, 2025 8:00 PM"
Polyrhythmics,https://pittsburgh.events/tickets/polyrhythmics/,1,Thunderbird Cafe,"Dec 12, 2025 8:00 PM"
Too Many Zooz,https://pittsburgh.events/tickets/too-many-zooz/,1,Mr Small's Theatre,"Dec 12, 2025 8:00 PM"
Robert Morris Colonials Basketball,https://pittsburgh.events/tickets/robert-morris-colonials-basketball/,3,UPMC Events Center,"Dec 13, 2025 1:00 PM"
Matt Light's Ugly Sweater Party,https://pittsburgh.events/tickets/matt-lights-ugly-sweater-party/,2,City Winery - Pittsburgh,"Dec 13, 2025 7:00 PM"
Avery Anna,https://pittsburgh.events/tickets/avery-anna/,1,Stage AE,"Dec 13, 2025 7:00 PM"
A Motown Christmas,https://pittsburgh.events/tickets/a-motown-christmas/,2,Capitol Theatre - Wheeling,"Dec 13, 2025 7:00 PM"
Bumpin' Uglies,https://pittsburgh.events/tickets/bumpin-uglies/,1,Mr Small's Theatre,"Dec 13, 2025 7:30 PM"
Margaritaworld - Tribute to Jimmy Buffett and Alan Jackson,https://pittsburgh.events/tickets/margaritaworld-tribute-to-jimmy-buffett-and-alan-jackson/,1,Wheeling Island Showroom,"Dec 13, 2025 8:00 PM"
The Sounds of Christmas,https://pittsburgh.events/tickets/the-sounds-of-christmas/,1,Palace Theatre - PA,"Dec 14, 2025 3:00 PM"
Shai Hulud,https://pittsburgh.events/tickets/shai-hulud/,1,Preserving Underground,"Dec 14, 2025 7:00 PM"
Mary Fahl,https://pittsburgh.events/tickets/mary-fahl/,1,City Winery - Pittsburgh,"Dec 14, 2025 7:30 PM"
Pittsburgh Steelers,https://pittsburgh.events/tickets/pittsburgh-steelers/,2,Tailgreeter All-Inclusive Tailgate - Acrisure Stadium,"Dec 15, 2025 3:30 AM"
Alicia Witt,https://pittsburgh.events/tickets/alicia-witt/,1,Jergel's Rhythm Grille,"Dec 15, 2025 8:00 PM"
The Supersuckers,https://pittsburgh.events/tickets/the-supersuckers/,1,Crafthouse Stage & Grill,"Dec 16, 2025 7:00 PM"
Holiday Brass Spectacular,https://pittsburgh.events/tickets/holiday-brass-spectacular/,1,Heinz Hall,"Dec 16, 2025 7:30 PM"
Luminare Christmas,https://pittsburgh.events/tickets/luminare-christmas/,1,Carnegie of Homestead Music Hall,"Dec 16, 2025 8:00 PM"
JD McPherson,https://pittsburgh.events/tickets/jd-mcpherson/,1,Thunderbird Cafe,"Dec 16, 2025 8:00 PM"
Allen Stone,https://pittsburgh.events/tickets/allen-stone/,1,Roxian Theatre,"Dec 17, 2025 6:55 PM"
Gianmarco Soresi,https://pittsburgh.events/tickets/gianmarco-soresi/,5,Pittsburgh Improv,"Dec 18, 2025 7:00 PM"
Trisha Yearwood,https://pittsburgh.events/tickets/trisha-yearwood/,1,Heinz Hall,"Dec 18, 2025 7:30 PM"
Aaron Lewis and The Stateliners,https://pittsburgh.events/tickets/aaron-lewis-and-the-stateliners/,1,1st Summit Arena at Cambria County War Memorial,"Dec 18, 2025 8:00 PM"
