Name,Link,UpcomingEvents,Place,Time
Born of Osiris,https://pittsburgh.events/tickets/born-of-osiris/,1,Preserving Underground,"Nov 5, 2025 7:00 PM"
Home Free,https://pittsburgh.events/tickets/home-free/,1,Palace Theatre - PA,"Nov 5, 2025 7:30 PM"
Boys Night Out,https://pittsburgh.events/tickets/boys-night-out/,1,Jergel's Rhythm Grille,"Nov 5, 2025 7:30 PM"
Griffin House,https://pittsburgh.events/tickets/griffin-house/,1,City Winery - Pittsburgh,"Nov 5, 2025 7:30 PM"
The Motet,https://pittsburgh.events/tickets/the-motet/,1,Thunderbird Cafe,"Nov 5, 2025 8:00 PM"
Chicago - The Band,https://pittsburgh.events/tickets/chicago-the-band/,2,UPMC Events Center,"Nov 5, 2025 8:00 PM"
Tall Tall Trees,https://pittsburgh.events/tickets/tall-tall-trees/,1,Mr Small's Fun House,"Nov 5, 2025 8:00 PM"
Saintseneca,https://pittsburgh.events/tickets/saintseneca/,1,Bottlerocket Social Hall,"Nov 5, 2025 8:00 PM"
Derrick Stroup,https://pittsburgh.events/tickets/derrick-stroup/,1,Pittsburgh Improv,"Nov 6, 2025 7:00 PM"
Haley Mae Campbell,https://pittsburgh.events/tickets/haley-mae-campbell/,1,Crafthouse Stage & Grill,"Nov 6, 2025 7:00 PM"
Milk Bank and Cookies,https://pittsburgh.events/event/milk-bank-and-cookies-pittsburgh-thursday-november-6-2025-700-pm/,1,Stage AE,"Nov 6, 2025 7:00 PM"
Turnpike Troubadours,https://pittsburgh.events/tickets/turnpike-troubadours/,1,Petersen Events Center,"Nov 6, 2025 7:00 PM"
Nutcracker! Magical Christmas Ballet,https://pittsburgh.events/tickets/nutcracker-magic-of-christmas-ballet/,1,Capitol Theatre - Wheeling,"Nov 6, 2025 7:00 PM"
Pittsburgh Penguins,https://pittsburgh.events/tickets/pittsburgh-penguins/,6,PPG Paints Arena,"Nov 6, 2025 7:00 PM"
