Name,Link,UpcomingEvents,Place,Time
The Rock Orchestra By Candlelight,https://pittsburgh.events/tickets/the-rock-orchestra-by-candlelight/,1,Lyell B Clay Concert Theatre - WVU,"Nov 23, 2025 8:00 PM"
Champions Of Magic,https://pittsburgh.events/tickets/champions-of-magic/,1,Palace Theatre - PA,"Nov 24, 2025 7:30 PM"
Sevendust,https://pittsburgh.events/tickets/sevendust/,1,Stage AE,"Nov 24, 2025 8:00 PM"
Youngstown State Penguins Basketball,https://pittsburgh.events/tickets/youngstown-state-penguins-basketball/,1,Beeghly Center,"Nov 25, 2025 5:15 PM"
Sanguisugabogg,https://pittsburgh.events/tickets/sanguisugabogg/,1,Roxian Theatre,"Nov 25, 2025 6:00 PM"
Waterparks,https://pittsburgh.events/tickets/waterparks/,1,Stage AE,"Nov 25, 2025 7:00 PM"
Bit Brigade,https://pittsburgh.events/tickets/bit-brigade/,1,Crafthouse Stage & Grill,"Nov 25, 2025 7:30 PM"
Black Stone Cherry,https://pittsburgh.events/tickets/black-stone-cherry/,1,Jergel's Rhythm Grille,"Nov 25, 2025 7:30 PM"
Les Miserables,https://pittsburgh.events/tickets/les-miserables/,8,Benedum Center,"Nov 25, 2025 7:30 PM"
Boz Scaggs,https://pittsburgh.events/tickets/boz-scaggs/,1,Palace Theatre - PA,"Nov 25, 2025 8:00 PM"
Ingested,https://pittsburgh.events/tickets/ingested/,1,Preserving Underground,"Nov 26, 2025 7:00 PM"
The Beths,https://pittsburgh.events/tickets/the-beths/,1,Roxian Theatre,"Nov 26, 2025 7:00 PM"
T-Robe,https://pittsburgh.events/tickets/t-robe/,1,Pittsburgh Improv,"Nov 26, 2025 7:00 PM"
Buzz Poets,https://pittsburgh.events/tickets/buzz-poets/,1,Jergel's Rhythm Grille,"Nov 26, 2025 8:00 PM"
Gavin Degraw,https://pittsburgh.events/tickets/gavin-degraw/,1,Carnegie of Homestead Music Hall,"Nov 28, 2025 7:00 PM"
Steve Byrne,https://pittsburgh.events/tickets/steve-byrne/,5,Pittsburgh Improv,"Nov 28, 2025 7:00 PM"
Tape B,https://pittsburgh.events/tickets/tape-b/,1,Stage AE,"Nov 28, 2025 8:00 PM"
Like Moths To Flames,https://pittsburgh.events/tickets/like-moths-to-flames/,1,Preserving Underground,"Nov 29, 2025 7:00 PM"
An American Werewolf In London - Film,https://pittsburgh.events/tickets/an-american-werewolf-in-london-film/,1,Carnegie of Homestead Music Hall,"Nov 29, 2025 7:00 PM"
The Sons of Brixton,https://pittsburgh.events/tickets/the-sons-of-brixton/,1,City Winery - Pittsburgh,"Nov 29, 2025 7:30 PM"
Senses Fail,https://pittsburgh.events/tickets/senses-fail/,1,Roxian Theatre,"Nov 29, 2025 8:00 PM"
Elmo and Friends Say Hello,https://pittsburgh.events/tickets/elmo-and-friends-say-hello/,2,Byham Theater,"Nov 30, 2025 2:00 PM"
A Peter White Christmas,https://pittsburgh.events/tickets/a-peter-white-christmas/,2,City Winery - Pittsburgh,"Nov 30, 2025 5:00 PM"
China Grove - Doobie Brothers Tribute Band,https://pittsburgh.events/tickets/china-grove-doobie-brothers-tribute-band/,1,Jergel's Rhythm Grille,"Nov 30, 2025 8:00 PM"
