Date,Title,Time,Location,Summary,Link
2025-10-16,2025 SBP-BRiMS and IDeaS Conferences,All Day,Scaife Hall,"The SBP-BRiMS (Social Computing, Behavioral-Cultural Modeling & Prediction and Behavior Representation in Modeling and Simulation) and IDeaS (Center for Informed Democracy & Social - cybersecurity) conferences will be co-located at Carnegie Mellon University this fall.",https://events.cmu.edu/event/14610-2025-sbp-brims-and-ideas-conferences
2025-10-16,32nd Annual Food Drive,All Day,,"Each year, the CMU community comes together to address hunger and food insecurity in our region through the highest-grossing food drive in the City of Pittsburgh. Help us keep the tradition alive in 2025!",https://events.cmu.edu/event/26163-32nd-annual-food-drive
2025-10-16,"Character: Lived, Tested, Exposed",All Day,"Cohon University Center, Kirr Commons",An exhibition by the third-year communication design students,https://events.cmu.edu/event/26243-character-lived-tested-exposed
2025-10-16,CHI PLAY 2025,All Day,On Campus and Online,The Annual Symposium on Computer-Human Interaction in Play (CHI PLAY) is coming to CMU in 2025!,https://events.cmu.edu/event/26128-chi-play-2025
2025-10-16,Fall Break; No Classes,All Day,,,https://events.cmu.edu/
2025-10-16,Here to Stay: Celebrating 40 Years at the Architecture Archives,All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",https://events.cmu.edu/event/7307-here-to-stay-celebrating-40-years-at-the
2025-10-16,ISO Digital Scavenger Hunt,All Day,Online,,https://events.cmu.edu/event/26159-iso-digital-scavenger-hunt
2025-10-16,Room to Imagine: 125 Years of Carnegie Mellon University,All Day,Hunt Library Gallery,"This immersive exhibit celebrates 125 years of CMU students, faculty and staff who turned their imagination into reality.",https://events.cmu.edu/event/25250-room-to-imagine-125-years-of-carnegie-mellon
2025-10-16,The Art and Science of Rafael Lucas Rodríguez Caballero,All Day,"Hunt Institute for Botanical Documentation, 5th Floor, Hunt Library","This exhibition at the Hunt Institute for Botanical Documentation celebrates the extraordinary life and work of Rafael Lucas Rodríguez Caballero, Costa Rican botanist, artist and educator.",https://events.cmu.edu/event/14670-the-art-and-science-of-rafael-lucas-rodriguez
2025-10-17,CMIST Graduate Program Open House,1760713200,,Join us for a virtual information session to learn more about the graduate programs that CMIST offers.,https://events.cmu.edu/event/25253-cmist-graduate-program-open-house
