# https://www.nhl.com/penguins/team/season-by-season-record

2020-21 | 56 | 37 | 16 | \-- | 3 | 77 | 1st, East
2019-20 | 69 | 40 | 23 | \-- | 6 | 86 | 3rd, Metropolitan
2018-19 | 82 | 44 | 26 | \-- | 12 | 100 | 3rd, Metropolitan
2017-18 | 82 | 47 | 29 | \-- | 6 | 100 | 2nd, Metropolitan
2016-17 | 82 | 50 | 21 | \-- | 11 | 111 |  2nd, Metropolitan **Stanley Cup Champions**
2015-16 | 82 | 48 | 26 | \-- | 8 | 104 |  2nd, Metropolitan **Stanley Cup Champions**
2014-15 | 82 | 43 | 27 | \-- | \-- | 98 | 4th, Metropolitan
2013-14 | 82 | 51 | 24 | \-- | 7 | 109 | 1st, Metropolitan
2012-13 | 48 | 36 | 12 | \-- | 0 | 72 | 1st, Atlantic
2011-12 | 82 | 51 | 25 | \-- | 6 | 108 | 2nd, Atlantic
2010-11 | 82 | 49 | 25 | \-- | 8 | 106 | 2nd, Atlantic
2009-10 | 82 | 47 | 28 | \-- | 7 | 101 |  2nd, Atlantic
2008-09 | 82 | 45 | 28 | \-- | 9 | 99 |  2nd, Atlantic **Stanley Cup Champtions**
2007-08 | 82 | 47 | 27 | \-- | 8 | 102 | 1st, Atlantic
2006-07 | 82 | 47 | 24 | \-- | 11 | 105 | 2nd, Atlantic
2005-06 | 82 | 22 | 46 | \-- | 14 | 58 | 5th, Atlantic
