# Steelers All-Time Draft Picks | Pittsburgh Steelers - Steelers.com

Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Ben Roethlisberger (QB)  |  Miami (Ohio)  |  11
2  |  Ricardo Colclough (CB)  |  Tusculum  |  38
3  |  Max Starks (OT)  |  Florida  |  75
4  |  Choice to Indianapolis  |  |
5  |  Nathaniel Adibi (LB)  |  Virginia Tech  |  145
6a  |  Bo Lacy (OT)  |  Arkansas  |  177
6b  |  Matt Kranchick (TE)  |  Penn State  |  194
6c  |  Drew Caylor (C/LS)  |  Stanford  |  197
7  |  Eric Taylor (DE)  |  Memphis  |  212  
**2003 27th Overall (2 offensive, 3 defensive)**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Troy Polamalu (S)  |  USC  |  16
2  |  Alonzo Jackson (LB)  |  Florida State  |  59
3  |  Choice to Kansas City  |  |
4  |  Ivan "Ike" Taylor (CB)  |  Louisiana-Lafayette  |  125
5  |  Brian St. Pierre (QB)  |  Boston College  |  163
6  |  Choice to Kansas City  |  |
7  |  J.T. Wall (FB)  |  Georgia  |  242  
**2002 30th Overall (4 offensive, 4 defensive)**
