# Steelers All-Time Draft Picks | Pittsburgh Steelers - Steelers.com

**1949 6th Overall**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Bobby Gage (B)  |  Clemson  |
2  |  Harper Davis (B)  |  Mississippi State  |
3  |  Bill Walsh (C)  |  Notre Dame  |
4  |  Joe Geri (B)  |  Georgia  |
5  |  Bil Long (E)  |  Oklahoma A & M  |
6  |  Doug Brightwell (C)  |  TCU  |
7  |  Bill Talarico (B)  |  Penn  |
8  |  George Brown (G)  |  TCU  |
9  |  Tom Brennan (T)  |  Boston College  |
10  |  Bob Hood (E)  |  Alabama  |
11  |  Al Sanders (C)  |  Mississippi Southern  |
12  |  Jimmy Finks (B)  |  Tulsa  |
13  |  R.R. Walston (G)  |  North Texas State  |
14  |  Dave Moon (B)  |  SMU  |
15  |  Ed Sobczak (E)  |  Michigan  |
16  |  Denvard Snell (T)  |  Auburn  |
17  |  Veto Kissell (B)  |  Holy Cross  |
18  |  Clint Shipman (T)  |  East Texas State  |
19  |  Jack McBridge (E)  |  Rice  |
20  |  Ben Mann (G)  |  Mississippi  |
21  |  Joe Jackura (C)  |  Georgia  |
22  |  Lloyd Johnson (B)  |  West Texas State  |
