# Steelers All-Time Draft Picks | Pittsburgh Steelers - Steelers.com

**1947 5th Overall**  
Table inside Article  Rd | Player (Pos) | School | PK (Overall)
---|---|---|---
1  |  Hub Bechtol (E)  |  Texas  |
2  |  John Mastrangelo (G)  |  Notre Dame  |
3  |  Frank Wydo (T)  |  Cornell  |
4  |  Frank Aschenbrenner (B)  |  Northwestern  |
5  |  Bryant Meeks (C)  |  South Carolina  |
6  |  Jerry Shipkey (B)  |  UCLA  |
7  |  Bert Vander Clute (G)  |  Wesleyan  |
8  |  Paul Gibson (E)  |  North Carolina State  |
9  |  Jack Medd (C)  |  Wesleyan  |
10  |  Jack Fitch (B)  |  North Carolina  |
11  |  Ara Parseghlan (B)  |  MIami (OH)  |
12  |  Bill Moore (T)  |  Penn State  |
13  |  Larry Bruno (B)  |  Geneva  |
14  |  Ralph Jenkins (C)  |  Clemson  |
15  |  Elbie Nickel (E)  |  Cincinnati  |
16  |  Bill Cregar (C)  |  Holy Cross  |
17  |  Jerry Mulready (B)  |  North Dakota State  |
18  |  Warren Smith (T)  |  Kansas Wesleyan  |
19  |  Fred Hamilton (T)  |  Vanderbilt  |
20  |  Fred Taylor (E)  |  TCU  |
21  |  Binks Bushmaier (B)  |  Vanderbilt  |
